gdbfieldname,Rfieldname,acsfieldname,type,glossaryfieldname,formula,acsfieldnamelong,universe
PTSDF_P2,EJ.PCT.proximity.tsdf.eo,NA,EJ,Supplementary EJ Index 2 for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
PTSDF_P6,EJ.PCT.proximity.tsdf.svi6,NA,EJ,Supplementary EJ Index 2 for Proximity to Treatment Storage and Disposal (TSDF) facilities using Supplementary Demographic Index,NA,NA,NA
D_OZONE_2,EJ.DISPARITY.o3.eo,NA,EJ,EJ Index for Ozone level in air,NA,NA,NA
OZONE_D6,EJ.DISPARITY.o3.svi6,NA,EJ,EJ Index for Ozone level in air using Supplementary Demographic Index,NA,NA,NA
OZONE_B2,EJ.BURDEN.o3.eo,NA,EJ,Supplementary EJ Index 1 for Ozone level in air,NA,NA,NA
OZONE_B6,EJ.BURDEN.o3.svi6,NA,EJ,Supplementary EJ Index 1 for Ozone level in air using Supplementary Demographic Index,NA,NA,NA
OZONE_P2,EJ.PCT.o3.eo,NA,EJ,Supplementary EJ Index 2 for Ozone level in air,NA,NA,NA
OZONE_P6,EJ.PCT.o3.svi6,NA,EJ,Supplementary EJ Index 2 for Ozone level in air using Supplementary Demographic Index,NA,NA,NA
D_PM25_2,EJ.DISPARITY.pm.eo,NA,EJ,EJ Index for PM2.5 level in air,NA,NA,NA
PM25_D6,EJ.DISPARITY.pm.svi6,NA,EJ,EJ Index for PM2.5 level in air using Supplementary Demographic Index,NA,NA,NA
PM25_B2,EJ.BURDEN.pm.eo,NA,EJ,Supplementary EJ Index 1 for PM2.5 level in air,NA,NA,NA
PM25_B6,EJ.BURDEN.pm.svi6,NA,EJ,Supplementary EJ Index 1 for PM2.5 level in air using Supplementary Demographic Index,NA,NA,NA
PM25_P2,EJ.PCT.pm.eo,NA,EJ,Supplementary EJ Index 2 for PM2.5 level in air,NA,NA,NA
PM25_P6,EJ.PCT.pm.svi6,NA,EJ,Supplementary EJ Index 2 for PM2.5 level in air using Supplementary Demographic Index,NA,NA,NA
P_MINORPCT,pctile.pctmin,NA,Demographic,Percentile for % minority,NA,NA,NA
P_LWINCPCT,pctile.pctlowinc,NA,Demographic,Percentile for % low-income,NA,NA,NA
P_LESHSPCT,pctile.pctlths,NA,Demographic Supplementary,Percentile for % less than high school,NA,NA,NA
P_LNGISPCT,pctile.pctlingiso,NA,Demographic Supplementary,Percentile for % of households (interpreted as individuals) in linguistic isolation,NA,NA,NA
P_UNDR5PCT,pctile.pctunder5,NA,Demographic Supplementary,Percentile for % under age 5,NA,NA,NA
P_OVR64PCT,pctile.pctover64,NA,Demographic Supplementary,Percentile for % over age 64,NA,NA,NA
P_LDPNT,pctile.pctpre1960,NA,Environmental,Percentile for % pre-1960 housing (lead paint indicator),NA,NA,NA
P_VULEOPCT,pctile.VSI.eo,NA,Demographic,"Percentile for Demographic Index (based on 2 factors, % low-income and % minority)",NA,NA,NA
P_VSVI6PCT,pctile.VSI.svi6,NA,Demographic Supplementary,Percentile for Supplementary Demographic Index (based on 6 factors),NA,NA,NA
P_DSLPM,pctile.dpm,NA,Environmental,Percentile for Diesel particulate matter level in air,NA,NA,NA
P_CANCR,pctile.cancer,NA,Environmental,Percentile for Air toxics cancer risk,NA,NA,NA
P_RESP,pctile.resp,NA,Environmental,Percentile for Air toxics respiratory hazard index,NA,NA,NA
P_NEURO,pctile.neuro,NA,Environmental,Percentile for Air toxics neurological hazard index,NA,NA,NA
P_PTRAF,pctile.traffic.score,NA,Environmental,Percentile for Traffic proximity and volume,NA,NA,NA
P_PWDIS,pctile.proximity.npdes,NA,Environmental,Percentile for Proximity to major direct dischargers to water,NA,NA,NA
P_PNPL,pctile.proximity.npl,NA,Environmental,Percentile for Proximity to National Priorities List (NPL) sites,NA,NA,NA
P_PRMP,pctile.proximity.rmp,NA,Environmental,Percentile for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
P_PTSDF,pctile.proximity.tsdf,NA,Environmental,Percentile for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
P_OZONE,pctile.o3,NA,Environmental,Percentile for Ozone level in air,NA,NA,NA
P_PM25,pctile.pm,NA,Environmental,Percentile for PM2.5 level in air,NA,NA,NA
P_LDPNT_D2,pctile.EJ.DISPARITY.pctpre1960.eo,NA,EJ,Percentile for EJ Index for % pre-1960 housing (lead paint indicator),NA,NA,NA
P_LDPNT_D6,pctile.EJ.DISPARITY.pctpre1960.svi6,NA,EJ,Percentile for EJ Index for % pre-1960 housing (lead paint indicator) using Supplementary Demographic Index,NA,NA,NA
P_LDPNT_B2,pctile.EJ.BURDEN.pctpre1960.eo,NA,EJ,Percentile for Supplementary EJ Index 1 for % pre-1960 housing (lead paint indicator),NA,NA,NA
P_LDPNT_B6,pctile.EJ.BURDEN.pctpre1960.svi6,NA,EJ,Percentile for Supplementary EJ Index 1 for % pre-1960 housing (lead paint indicator) using Supplementary Demographic Index,NA,NA,NA
P_LDPNT_P2,pctile.EJ.PCT.pctpre1960.eo,NA,EJ,Percentile for Supplementary EJ Index 2 for % pre-1960 housing (lead paint indicator),NA,NA,NA
P_LDPNT_P6,pctile.EJ.PCT.pctpre1960.svi6,NA,EJ,Percentile for Supplementary EJ Index 2 for % pre-1960 housing (lead paint indicator) using Supplementary Demographic Index,NA,NA,NA
P_DSLPM_D2,pctile.EJ.DISPARITY.dpm.eo,NA,EJ,Percentile for EJ Index for Diesel particulate matter level in air,NA,NA,NA
P_DSLPM_D6,pctile.EJ.DISPARITY.dpm.svi6,NA,EJ,Percentile for EJ Index for Diesel particulate matter level in air using Supplementary Demographic Index,NA,NA,NA
P_DSLPM_B2,pctile.EJ.BURDEN.dpm.eo,NA,EJ,Percentile for Supplementary EJ Index 1 for Diesel particulate matter level in air,NA,NA,NA
P_DSLPM_B6,pctile.EJ.BURDEN.dpm.svi6,NA,EJ,Percentile for Supplementary EJ Index 1 for Diesel particulate matter level in air using Supplementary Demographic Index,NA,NA,NA
P_DSLPM_P2,pctile.EJ.PCT.dpm.eo,NA,EJ,Percentile for Supplementary EJ Index 2 for Diesel particulate matter level in air,NA,NA,NA
P_DSLPM_P6,pctile.EJ.PCT.dpm.svi6,NA,EJ,Percentile for Supplementary EJ Index 2 for Diesel particulate matter level in air using Supplementary Demographic Index,NA,NA,NA
P_CANCR_D2,pctile.EJ.DISPARITY.cancer.eo,NA,EJ,Percentile for EJ Index for Air toxics cancer risk,NA,NA,NA
P_CANCR_D6,pctile.EJ.DISPARITY.cancer.svi6,NA,EJ,Percentile for EJ Index for Air toxics cancer risk using Supplementary Demographic Index,NA,NA,NA
P_CANCR_B2,pctile.EJ.BURDEN.cancer.eo,NA,EJ,Percentile for Supplementary EJ Index 1 for Air toxics cancer risk,NA,NA,NA
P_CANCR_B6,pctile.EJ.BURDEN.cancer.svi6,NA,EJ,Percentile for Supplementary EJ Index 1 for Air toxics cancer risk using Supplementary Demographic Index,NA,NA,NA
P_CANCR_P2,pctile.EJ.PCT.cancer.eo,NA,EJ,Percentile for Supplementary EJ Index 2 for Air toxics cancer risk,NA,NA,NA
P_CANCR_P6,pctile.EJ.PCT.cancer.svi6,NA,EJ,Percentile for Supplementary EJ Index 2 for Air toxics cancer risk using Supplementary Demographic Index,NA,NA,NA
P_RESP_D2,pctile.EJ.DISPARITY.resp.eo,NA,EJ,Percentile for EJ Index for Air toxics respiratory hazard index,NA,NA,NA
P_RESP_D6,pctile.EJ.DISPARITY.resp.svi6,NA,EJ,Percentile for EJ Index for Air toxics respiratory hazard index using Supplementary Demographic Index,NA,NA,NA
P_RESP_B2,pctile.EJ.BURDEN.resp.eo,NA,EJ,Percentile for Supplementary EJ Index 1 for Air toxics respiratory hazard index,NA,NA,NA
P_RESP_B6,pctile.EJ.BURDEN.resp.svi6,NA,EJ,Percentile for Supplementary EJ Index 1 for Air toxics respiratory hazard index using Supplementary Demographic Index,NA,NA,NA
P_RESP_P2,pctile.EJ.PCT.resp.eo,NA,EJ,Percentile for Supplementary EJ Index 2 for Air toxics respiratory hazard index,NA,NA,NA
P_RESP_P6,pctile.EJ.PCT.resp.svi6,NA,EJ,Percentile for Supplementary EJ Index 2 for Air toxics respiratory hazard index using Supplementary Demographic Index,NA,NA,NA
P_NEURO_D2,pctile.EJ.DISPARITY.neuro.eo,NA,EJ,Percentile for EJ Index for Air toxics neurological hazard index,NA,NA,NA
P_NEURO_D6,pctile.EJ.DISPARITY.neuro.svi6,NA,EJ,Percentile for EJ Index for Air toxics neurological hazard index using Supplementary Demographic Index,NA,NA,NA
P_NEURO_B2,pctile.EJ.BURDEN.neuro.eo,NA,EJ,Percentile for Supplementary EJ Index 1 for Air toxics neurological hazard index,NA,NA,NA
P_NEURO_B6,pctile.EJ.BURDEN.neuro.svi6,NA,EJ,Percentile for Supplementary EJ Index 1 for Air toxics neurological hazard index using Supplementary Demographic Index,NA,NA,NA
P_NEURO_P2,pctile.EJ.PCT.neuro.eo,NA,EJ,Percentile for Supplementary EJ Index 2 for Air toxics neurological hazard index,NA,NA,NA
P_NEURO_P6,pctile.EJ.PCT.neuro.svi6,NA,EJ,Percentile for Supplementary EJ Index 2 for Air toxics neurological hazard index using Supplementary Demographic Index,NA,NA,NA
P_PTRAF_D2,pctile.EJ.DISPARITY.traffic.score.eo,NA,EJ,Percentile for EJ Index for Traffic proximity and volume,NA,NA,NA
P_PTRAF_D6,pctile.EJ.DISPARITY.traffic.score.svi6,NA,EJ,Percentile for EJ Index for Traffic proximity and volume using Supplementary Demographic Index,NA,NA,NA
P_PTRAF_B2,pctile.EJ.BURDEN.traffic.score.eo,NA,EJ,Percentile for Supplementary EJ Index 1 for Traffic proximity and volume,NA,NA,NA
P_PTRAF_B6,pctile.EJ.BURDEN.traffic.score.svi6,NA,EJ,Percentile for Supplementary EJ Index 1 for Traffic proximity and volume using Supplementary Demographic Index,NA,NA,NA
P_PTRAF_P2,pctile.EJ.PCT.traffic.score.eo,NA,EJ,Percentile for Supplementary EJ Index 2 for Traffic proximity and volume,NA,NA,NA
P_PTRAF_P6,pctile.EJ.PCT.traffic.score.svi6,NA,EJ,Percentile for Supplementary EJ Index 2 for Traffic proximity and volume using Supplementary Demographic Index,NA,NA,NA
P_PWDIS_D2,pctile.EJ.DISPARITY.proximity.npdes.eo,NA,EJ,Percentile for EJ Index for Proximity to major direct dischargers to water,NA,NA,NA
P_PWDIS_D6,pctile.EJ.DISPARITY.proximity.npdes.svi6,NA,EJ,Percentile for EJ Index for Proximity to major direct dischargers to water using Supplementary Demographic Index,NA,NA,NA
P_PWDIS_B2,pctile.EJ.BURDEN.proximity.npdes.eo,NA,EJ,Percentile for Supplementary EJ Index 1 for Proximity to major direct dischargers to water,NA,NA,NA
P_PWDIS_B6,pctile.EJ.BURDEN.proximity.npdes.svi6,NA,EJ,Percentile for Supplementary EJ Index 1 for Proximity to major direct dischargers to water using Supplementary Demographic Index,NA,NA,NA
P_PWDIS_P2,pctile.EJ.PCT.proximity.npdes.eo,NA,EJ,Percentile for Supplementary EJ Index 2 for Proximity to major direct dischargers to water,NA,NA,NA
P_PWDIS_P6,pctile.EJ.PCT.proximity.npdes.svi6,NA,EJ,Percentile for Supplementary EJ Index 2 for Proximity to major direct dischargers to water using Supplementary Demographic Index,NA,NA,NA
P_PNPL_D2,pctile.EJ.DISPARITY.proximity.npl.eo,NA,EJ,Percentile for EJ Index for Proximity to National Priorities List (NPL) sites,NA,NA,NA
P_PNPL_D6,pctile.EJ.DISPARITY.proximity.npl.svi6,NA,EJ,Percentile for EJ Index for Proximity to National Priorities List (NPL) sites using Supplementary Demographic Index,NA,NA,NA
P_PNPL_B2,pctile.EJ.BURDEN.proximity.npl.eo,NA,EJ,Percentile for Supplementary EJ Index 1 for Proximity to National Priorities List (NPL) sites,NA,NA,NA
P_PNPL_B6,pctile.EJ.BURDEN.proximity.npl.svi6,NA,EJ,Percentile for Supplementary EJ Index 1 for Proximity to National Priorities List (NPL) sites using Supplementary Demographic Index,NA,NA,NA
P_PNPL_P2,pctile.EJ.PCT.proximity.npl.eo,NA,EJ,Percentile for Supplementary EJ Index 2 for Proximity to National Priorities List (NPL) sites,NA,NA,NA
P_PNPL_P6,pctile.EJ.PCT.proximity.npl.svi6,NA,EJ,Percentile for Supplementary EJ Index 2 for Proximity to National Priorities List (NPL) sites using Supplementary Demographic Index,NA,NA,NA
P_PRMP_D2,pctile.EJ.DISPARITY.proximity.rmp.eo,NA,EJ,Percentile for EJ Index for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
P_PRMP_D6,pctile.EJ.DISPARITY.proximity.rmp.svi6,NA,EJ,Percentile for EJ Index for Proximity to Risk Management Plan (RMP) facilities using Supplementary Demographic Index,NA,NA,NA
P_PRMP_B2,pctile.EJ.BURDEN.proximity.rmp.eo,NA,EJ,Percentile for Supplementary EJ Index 1 for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
P_PRMP_B6,pctile.EJ.BURDEN.proximity.rmp.svi6,NA,EJ,Percentile for Supplementary EJ Index 1 for Proximity to Risk Management Plan (RMP) facilities using Supplementary Demographic Index,NA,NA,NA
P_PRMP_P2,pctile.EJ.PCT.proximity.rmp.eo,NA,EJ,Percentile for Supplementary EJ Index 2 for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
P_PRMP_P6,pctile.EJ.PCT.proximity.rmp.svi6,NA,EJ,Percentile for Supplementary EJ Index 2 for Proximity to Risk Management Plan (RMP) facilities using Supplementary Demographic Index,NA,NA,NA
P_PTSDF_D2,pctile.EJ.DISPARITY.proximity.tsdf.eo,NA,EJ,Percentile for EJ Index for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
P_PTSDF_D6,pctile.EJ.DISPARITY.proximity.tsdf.svi6,NA,EJ,Percentile for EJ Index for Proximity to Treatment Storage and Disposal (TSDF) facilities using Supplementary Demographic Index,NA,NA,NA
P_PTSDF_B2,pctile.EJ.BURDEN.proximity.tsdf.eo,NA,EJ,Percentile for Supplementary EJ Index 1 for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
P_PTSDF_B6,pctile.EJ.BURDEN.proximity.tsdf.svi6,NA,EJ,Percentile for Supplementary EJ Index 1 for Proximity to Treatment Storage and Disposal (TSDF) facilities using Supplementary Demographic Index,NA,NA,NA
P_PTSDF_P2,pctile.EJ.PCT.proximity.tsdf.eo,NA,EJ,Percentile for Supplementary EJ Index 2 for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
P_PTSDF_P6,pctile.EJ.PCT.proximity.tsdf.svi6,NA,EJ,Percentile for Supplementary EJ Index 2 for Proximity to Treatment Storage and Disposal (TSDF) facilities using Supplementary Demographic Index,NA,NA,NA
P_OZONE_D2,pctile.EJ.DISPARITY.o3.eo,NA,EJ,Percentile for EJ Index for Ozone level in air,NA,NA,NA
P_OZONE_D6,pctile.EJ.DISPARITY.o3.svi6,NA,EJ,Percentile for EJ Index for Ozone level in air using Supplementary Demographic Index,NA,NA,NA
P_OZONE_B2,pctile.EJ.BURDEN.o3.eo,NA,EJ,Percentile for Supplementary EJ Index 1 for Ozone level in air,NA,NA,NA
P_OZONE_B6,pctile.EJ.BURDEN.o3.svi6,NA,EJ,Percentile for Supplementary EJ Index 1 for Ozone level in air using Supplementary Demographic Index,NA,NA,NA
P_OZONE_P2,pctile.EJ.PCT.o3.eo,NA,EJ,Percentile for Supplementary EJ Index 2 for Ozone level in air,NA,NA,NA
P_OZONE_P6,pctile.EJ.PCT.o3.svi6,NA,EJ,Percentile for Supplementary EJ Index 2 for Ozone level in air using Supplementary Demographic Index,NA,NA,NA
P_PM25_D2,pctile.EJ.DISPARITY.pm.eo,NA,EJ,Percentile for EJ Index for PM2.5 level in air,NA,NA,NA
P_PM25_D6,pctile.EJ.DISPARITY.pm.svi6,NA,EJ,Percentile for EJ Index for PM2.5 level in air using Supplementary Demographic Index,NA,NA,NA
P_PM25_B2,pctile.EJ.BURDEN.pm.eo,NA,EJ,Percentile for Supplementary EJ Index 1 for PM2.5 level in air,NA,NA,NA
P_PM25_B6,pctile.EJ.BURDEN.pm.svi6,NA,EJ,Percentile for Supplementary EJ Index 1 for PM2.5 level in air using Supplementary Demographic Index,NA,NA,NA
P_PM25_P2,pctile.EJ.PCT.pm.eo,NA,EJ,Percentile for Supplementary EJ Index 2 for PM2.5 level in air,NA,NA,NA
P_PM25_P6,pctile.EJ.PCT.pm.svi6,NA,EJ,Percentile for Supplementary EJ Index 2 for PM2.5 level in air using Supplementary Demographic Index,NA,NA,NA
B_MINORPCT,bin.pctmin,NA,Demographic,Map color bin for % minority,NA,NA,NA
B_LWINCPCT,bin.pctlowinc,NA,Demographic,Map color bin for % low-income,NA,NA,NA
B_LESHSPCT,bin.pctlths,NA,Demographic Supplementary,Map color bin for % less than high school,NA,NA,NA
B_LNGISPCT,bin.pctlingiso,NA,Demographic Supplementary,Map color bin for % of households (interpreted as individuals) in linguistic isolation,NA,NA,NA
B_UNDR5PCT,bin.pctunder5,NA,Demographic Supplementary,Map color bin for % under age 5,NA,NA,NA
B_OVR64PCT,bin.pctover64,NA,Demographic Supplementary,Map color bin for % over age 64,NA,NA,NA
B_LDPNT,bin.pctpre1960,NA,Environmental,Map color bin for % pre-1960 housing (lead paint indicator),NA,NA,NA
B_VULEOPCT,bin.VSI.eo,NA,Demographic,"Map color bin for Demographic Index (based on 2 factors, % low-income and % minority)",NA,NA,NA
B_VSVI6PCT,bin.VSI.svi6,NA,Demographic Supplementary,Map color bin for Supplementary Demographic Index (based on 6 factors),NA,NA,NA
B_DSLPM,bin.dpm,NA,Environmental,Map color bin for Diesel particulate matter level in air,NA,NA,NA
B_CANCR,bin.cancer,NA,Environmental,Map color bin for Air toxics cancer risk,NA,NA,NA
B_RESP,bin.resp,NA,Environmental,Map color bin for Air toxics respiratory hazard index,NA,NA,NA
B_NEURO,bin.neuro,NA,Environmental,Map color bin for Air toxics neurological hazard index,NA,NA,NA
B_PTRAF,bin.traffic.score,NA,Environmental,Map color bin for Traffic proximity and volume,NA,NA,NA
B_PWDIS,bin.proximity.npdes,NA,Environmental,Map color bin for Proximity to major direct dischargers to water,NA,NA,NA
B_PNPL,bin.proximity.npl,NA,Environmental,Map color bin for Proximity to National Priorities List (NPL) sites,NA,NA,NA
B_PRMP,bin.proximity.rmp,NA,Environmental,Map color bin for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
B_PTSDF,bin.proximity.tsdf,NA,Environmental,Map color bin for Proximity to Treatment Storage and Disposal (TSDF) facilities,NA,NA,NA
B_OZONE,bin.o3,NA,Environmental,Map color bin for Ozone level in air,NA,NA,NA
B_PM25,bin.pm,NA,Environmental,Map color bin for PM2.5 level in air,NA,NA,NA
B_LDPNT_D2,bin.EJ.DISPARITY.pctpre1960.eo,NA,EJ,Map color bin for EJ Index for % pre-1960 housing (lead paint indicator),NA,NA,NA
B_LDPNT_D6,bin.EJ.DISPARITY.pctpre1960.svi6,NA,EJ,Map color bin for EJ Index for % pre-1960 housing (lead paint indicator) using Supplementary Demographic Index,NA,NA,NA
B_LDPNT_B2,bin.EJ.BURDEN.pctpre1960.eo,NA,EJ,Map color bin for Supplementary EJ Index 1 for % pre-1960 housing (lead paint indicator),NA,NA,NA
B_LDPNT_B6,bin.EJ.BURDEN.pctpre1960.svi6,NA,EJ,Map color bin for Supplementary EJ Index 1 for % pre-1960 housing (lead paint indicator) using Supplementary Demographic Index,NA,NA,NA
B_LDPNT_P2,bin.EJ.PCT.pctpre1960.eo,NA,EJ,Map color bin for Supplementary EJ Index 2 for % pre-1960 housing (lead paint indicator),NA,NA,NA
B_LDPNT_P6,bin.EJ.PCT.pctpre1960.svi6,NA,EJ,Map color bin for Supplementary EJ Index 2 for % pre-1960 housing (lead paint indicator) using Supplementary Demographic Index,NA,NA,NA
B_DSLPM_D2,bin.EJ.DISPARITY.dpm.eo,NA,EJ,Map color bin for EJ Index for Diesel particulate matter level in air,NA,NA,NA
B_DSLPM_D6,bin.EJ.DISPARITY.dpm.svi6,NA,EJ,Map color bin for EJ Index for Diesel particulate matter level in air using Supplementary Demographic Index,NA,NA,NA
B_DSLPM_B2,bin.EJ.BURDEN.dpm.eo,NA,EJ,Map color bin for Supplementary EJ Index 1 for Diesel particulate matter level in air,NA,NA,NA
B_DSLPM_B6,bin.EJ.BURDEN.dpm.svi6,NA,EJ,Map color bin for Supplementary EJ Index 1 for Diesel particulate matter level in air using Supplementary Demographic Index,NA,NA,NA
B_DSLPM_P2,bin.EJ.PCT.dpm.eo,NA,EJ,Map color bin for Supplementary EJ Index 2 for Diesel particulate matter level in air,NA,NA,NA
B_DSLPM_P6,bin.EJ.PCT.dpm.svi6,NA,EJ,Map color bin for Supplementary EJ Index 2 for Diesel particulate matter level in air using Supplementary Demographic Index,NA,NA,NA
B_CANCR_D2,bin.EJ.DISPARITY.cancer.eo,NA,EJ,Map color bin for EJ Index for Air toxics cancer risk,NA,NA,NA
B_CANCR_D6,bin.EJ.DISPARITY.cancer.svi6,NA,EJ,Map color bin for EJ Index for Air toxics cancer risk using Supplementary Demographic Index,NA,NA,NA
B_CANCR_B2,bin.EJ.BURDEN.cancer.eo,NA,EJ,Map color bin for Supplementary EJ Index 1 for Air toxics cancer risk,NA,NA,NA
B_CANCR_B6,bin.EJ.BURDEN.cancer.svi6,NA,EJ,Map color bin for Supplementary EJ Index 1 for Air toxics cancer risk using Supplementary Demographic Index,NA,NA,NA
B_CANCR_P2,bin.EJ.PCT.cancer.eo,NA,EJ,Map color bin for Supplementary EJ Index 2 for Air toxics cancer risk,NA,NA,NA
B_CANCR_P6,bin.EJ.PCT.cancer.svi6,NA,EJ,Map color bin for Supplementary EJ Index 2 for Air toxics cancer risk using Supplementary Demographic Index,NA,NA,NA
B_RESP_D2,bin.EJ.DISPARITY.resp.eo,NA,EJ,Map color bin for EJ Index for Air toxics respiratory hazard index,NA,NA,NA
B_RESP_D6,bin.EJ.DISPARITY.resp.svi6,NA,EJ,Map color bin for EJ Index for Air toxics respiratory hazard index using Supplementary Demographic Index,NA,NA,NA
B_RESP_B2,bin.EJ.BURDEN.resp.eo,NA,EJ,Map color bin for Supplementary EJ Index 1 for Air toxics respiratory hazard index,NA,NA,NA
B_RESP_B6,bin.EJ.BURDEN.resp.svi6,NA,EJ,Map color bin for Supplementary EJ Index 1 for Air toxics respiratory hazard index using Supplementary Demographic Index,NA,NA,NA
B_RESP_P2,bin.EJ.PCT.resp.eo,NA,EJ,Map color bin for Supplementary EJ Index 2 for Air toxics respiratory hazard index,NA,NA,NA
B_RESP_P6,bin.EJ.PCT.resp.svi6,NA,EJ,Map color bin for Supplementary EJ Index 2 for Air toxics respiratory hazard index using Supplementary Demographic Index,NA,NA,NA
B_NEURO_D2,bin.EJ.DISPARITY.neuro.eo,NA,EJ,Map color bin for EJ Index for Air toxics neurological hazard index,NA,NA,NA
B_NEURO_D6,bin.EJ.DISPARITY.neuro.svi6,NA,EJ,Map color bin for EJ Index for Air toxics neurological hazard index using Supplementary Demographic Index,NA,NA,NA
B_NEURO_B2,bin.EJ.BURDEN.neuro.eo,NA,EJ,Map color bin for Supplementary EJ Index 1 for Air toxics neurological hazard index,NA,NA,NA
B_NEURO_B6,bin.EJ.BURDEN.neuro.svi6,NA,EJ,Map color bin for Supplementary EJ Index 1 for Air toxics neurological hazard index using Supplementary Demographic Index,NA,NA,NA
B_NEURO_P2,bin.EJ.PCT.neuro.eo,NA,EJ,Map color bin for Supplementary EJ Index 2 for Air toxics neurological hazard index,NA,NA,NA
B_NEURO_P6,bin.EJ.PCT.neuro.svi6,NA,EJ,Map color bin for Supplementary EJ Index 2 for Air toxics neurological hazard index using Supplementary Demographic Index,NA,NA,NA
B_PTRAF_D2,bin.EJ.DISPARITY.traffic.score.eo,NA,EJ,Map color bin for EJ Index for Traffic proximity and volume,NA,NA,NA
B_PTRAF_D6,bin.EJ.DISPARITY.traffic.score.svi6,NA,EJ,Map color bin for EJ Index for Traffic proximity and volume using Supplementary Demographic Index,NA,NA,NA
B_PTRAF_B2,bin.EJ.BURDEN.traffic.score.eo,NA,EJ,Map color bin for Supplementary EJ Index 1 for Traffic proximity and volume,NA,NA,NA
B_PTRAF_B6,bin.EJ.BURDEN.traffic.score.svi6,NA,EJ,Map color bin for Supplementary EJ Index 1 for Traffic proximity and volume using Supplementary Demographic Index,NA,NA,NA
B_PTRAF_P2,bin.EJ.PCT.traffic.score.eo,NA,EJ,Map color bin for Supplementary EJ Index 2 for Traffic proximity and volume,NA,NA,NA
B_PTRAF_P6,bin.EJ.PCT.traffic.score.svi6,NA,EJ,Map color bin for Supplementary EJ Index 2 for Traffic proximity and volume using Supplementary Demographic Index,NA,NA,NA
B_PWDIS_D2,bin.EJ.DISPARITY.proximity.npdes.eo,NA,EJ,Map color bin for EJ Index for Proximity to major direct dischargers to water,NA,NA,NA
B_PWDIS_D6,bin.EJ.DISPARITY.proximity.npdes.svi6,NA,EJ,Map color bin for EJ Index for Proximity to major direct dischargers to water using Supplementary Demographic Index,NA,NA,NA
B_PWDIS_B2,bin.EJ.BURDEN.proximity.npdes.eo,NA,EJ,Map color bin for Supplementary EJ Index 1 for Proximity to major direct dischargers to water,NA,NA,NA
B_PWDIS_B6,bin.EJ.BURDEN.proximity.npdes.svi6,NA,EJ,Map color bin for Supplementary EJ Index 1 for Proximity to major direct dischargers to water using Supplementary Demographic Index,NA,NA,NA
B_PWDIS_P2,bin.EJ.PCT.proximity.npdes.eo,NA,EJ,Map color bin for Supplementary EJ Index 2 for Proximity to major direct dischargers to water,NA,NA,NA
B_PWDIS_P6,bin.EJ.PCT.proximity.npdes.svi6,NA,EJ,Map color bin for Supplementary EJ Index 2 for Proximity to major direct dischargers to water using Supplementary Demographic Index,NA,NA,NA
B_PNPL_D2,bin.EJ.DISPARITY.proximity.npl.eo,NA,EJ,Map color bin for EJ Index for Proximity to National Priorities List (NPL) sites,NA,NA,NA
B_PNPL_D6,bin.EJ.DISPARITY.proximity.npl.svi6,NA,EJ,Map color bin for EJ Index for Proximity to National Priorities List (NPL) sites using Supplementary Demographic Index,NA,NA,NA
B_PNPL_B2,bin.EJ.BURDEN.proximity.npl.eo,NA,EJ,Map color bin for Supplementary EJ Index 1 for Proximity to National Priorities List (NPL) sites,NA,NA,NA
B_PNPL_B6,bin.EJ.BURDEN.proximity.npl.svi6,NA,EJ,Map color bin for Supplementary EJ Index 1 for Proximity to National Priorities List (NPL) sites using Supplementary Demographic Index,NA,NA,NA
B_PNPL_P2,bin.EJ.PCT.proximity.npl.eo,NA,EJ,Map color bin for Supplementary EJ Index 2 for Proximity to National Priorities List (NPL) sites,NA,NA,NA
B_PNPL_P6,bin.EJ.PCT.proximity.npl.svi6,NA,EJ,Map color bin for Supplementary EJ Index 2 for Proximity to National Priorities List (NPL) sites using Supplementary Demographic Index,NA,NA,NA
B_PRMP_D2,bin.EJ.DISPARITY.proximity.rmp.eo,NA,EJ,Map color bin for EJ Index for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
B_PRMP_D6,bin.EJ.DISPARITY.proximity.rmp.svi6,NA,EJ,Map color bin for EJ Index for Proximity to Risk Management Plan (RMP) facilities using Supplementary Demographic Index,NA,NA,NA
B_PRMP_B2,bin.EJ.BURDEN.proximity.rmp.eo,NA,EJ,Map color bin for Supplementary EJ Index 1 for Proximity to Risk Management Plan (RMP) facilities,NA,NA,NA
B_PRMP_B6,bin.EJ.BURDEN.proximity.rmp.svi6,NA,EJ,Map color bin for Supplementary EJ Index 1 for Proximity to Risk Management Plan (RMP) facilities using Supplementary Demographic Index,NA,NA,NA
