OBJECTID,REGION,PCTILE,MINORPCT,LOWINCPCT,LESSHSPCT,LINGISOPCT,UNDER5PCT,OVER64PCT,PRE1960PCT,UNEMPPCT,VULEOPCT,DSLPM,CANCER,RESP,PTRAF,PWDIS,PNPL,PRMP,PTSDF,OZONE,PM25,UST,D_LDPNT_2,D_DSLPM_2,D_CANCR_2,D_RESP_2,D_PTRAF_2,D_PWDIS_2,D_PNPL_2,D_PRMP_2,D_PTSDF_2,D_OZONE_2,D_PM25_2,D_UST_2
1,AK,  0,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000002213299765,8.000000000000000,0.100000000000000,0.017644131663082,,0.001000737497797,0.001411206625177,0.001278367451246,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,0.000000000000000
2,AK,  1,0.039544378547412,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000549988447518,0.000000000000000,0.000000000000000,0.044806883712064,0.000005281918678,8.000000000000000,0.100000000000000,0.032955840838101,,0.001178683189513,0.001457087449556,0.001398893720085,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.044340723453909,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,0.000000000000000
3,AK,  2,0.067452381438458,0.008161321822155,0.000000000000000,0.000000000000000,0.000000000000000,0.014458283029393,0.000000000000000,0.000000000000000,0.066866930171278,0.000008340854022,8.000000000000000,0.100000000000000,0.061995677026808,,0.001227506545988,0.001486793748695,0.001691676546050,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.099093620216878,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,0.000000000000000
4,AK,  3,0.080870919122594,0.013826804175533,0.000000000000000,0.000000000000000,0.000000000000000,0.018167002204966,0.000000000000000,0.000000000000000,0.087427052467665,0.000012419695347,8.000000000000000,0.100000000000000,0.101134716239601,,0.001281581753588,0.001917783204672,0.001724871301364,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.131181318681318,0.000000000000000,,0.000000000000000,0.000000000000000,0.000000000000000,,,0.000000000000000
5,AK,  4,0.088770876307134,0.027618961788032,0.000000000000000,0.000000000000000,0.000000000000000,0.022431508596500,0.000000000000000,0.000000000000000,0.099459839138859,0.000086373097326,8.000000000000000,0.100000000000000,0.318126183170179,,0.001389506432484,0.002381120846988,0.002087493135475,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.157600909045995,0.145109323597849,,0.000000000000000,0.000000000000000,0.000000000000000,,,0.000000000000000
6,AK,  5,0.107367065946554,0.033817256747193,0.000000000000000,0.000000000000000,0.000000000000000,0.024639888335986,0.000000000000000,0.000000000000000,0.107135435477232,0.000165040173952,8.000000000000000,0.100000000000000,0.936095665692069,,0.001467616336120,0.002902300916024,0.002220217839992,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.166149507772544,0.303711646115304,,0.000000000000000,0.000000000000000,0.000000000000000,,,0.000000000000000
7,AK,  6,0.115719466114384,0.037963464667066,0.000000000000000,0.000000000000000,0.000000000000000,0.032851436634351,0.000000000000000,0.000000000000000,0.118150265035636,0.000194372082645,8.000000000000000,0.100000000000000,1.416244122625850,,0.001541985680350,0.003474827826949,0.002252719742173,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.176074004390091,0.397781299412319,,0.000000000000000,0.000000000000000,0.000000000000000,,,0.000000000000000
8,AK,  7,0.121749142577167,0.041127440232046,0.000000000000000,0.000000000000000,0.000811594202899,0.037615936153638,0.000000000000000,0.000000000000000,0.124517831598678,0.000846815174749,8.000000000000000,0.100000000000000,1.795539589613890,,0.001651379096594,0.003741204521009,0.002288686827462,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.192239858906525,0.471680637516225,,0.000000000000000,0.000000000000000,0.000000000000000,,,0.000000000000000
9,AK,  8,0.127913184603832,0.049115003394433,0.000000000000000,0.000000000000000,0.006424455239716,0.041943775044860,0.000000000000000,0.000000000000000,0.135017793421300,0.001016685149697,8.000000000000000,0.100000000000000,2.633615805595610,,0.001938071324877,0.004876897333940,0.002314042513549,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.200791855203620,0.608045771078693,,0.000000000000000,0.000000000000000,0.000000000000000,,,0.000000000000000
10,AK,  9,0.136039809106502,0.056934688901651,0.000000000000000,0.000000000000000,0.009127174534978,0.045360197218249,0.000000000000000,0.000000000000000,0.144171945807327,0.001166596608040,8.000000000000000,0.100000000000000,3.394637688753390,,0.002111964895994,0.007968149246701,0.002521789143685,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.207515870737231,0.750479410418383,,0.000000000000000,0.000000000000000,0.000000000000000,,,0.000000000000000
